known_count,unique_solution,puzzle_string,time_taken
30,False,7--3--6-------618-68----32-----34-----856-93-36-1-------6972--3--4-----99----8-5-,1.26
30,False,---9---3-47-18---2---2-----7---6-51-------27--5-7-13----76--1---41---729--5-17-8-,1.29
30,False,--7--36-----4--2---627--3-46--9758---7816--351--------7-1----8-2-36----98--------,1.32
30,False,7---4--526--9-83---5-7-3-9-----16-38----9----5---8-76----23---7-------433-78---1-,1.42
30,False,268--7----9-6-3-72--7-94--6-2--3--6----92--15-----1-----2--83-----5-----4563---2-,1.47
30,False,-916---346-41-------394-7---287-------5-1438---78------8---2-5---2----73----8-4--,1.52
30,False,-----5----16----3--956--47-139--8----2----3546-432------3--4-67----1-8--46---3---,1.57
30,False,-96-31--4-2--871-------2--5-6---9----8-25------761-------14-2-8--43-----652---3-1,1.58
30,False,-7---92-4-----69--9-------7-5--7---9---9--4--619-------27--8-9--651-23--3986-7---,1.77
30,False,2-7-68435------269-642--78---68------2-93------3-1---6---3--6-2---6--1--6-----5--,1.78
30,False,46------5---49-3--95-7-1-24--5--7-1------2---32-8---6773-92-58---9-----22--------,1.79
30,False,9--814--2--4----7--21375-9---7-6-38--3-4--------9-87-----1-----5-87--4-3----86---,1.81
30,False,--6----8-8------6--1--69-2--61952------1-3--64-967-------791----47----59--3--5--1,1.82
30,False,--14---5----8-32----4--19---27----4--463-91---19-24-6-478--5-92------------9----1,1.94
30,False,--3----1-5-4-1-7-------9--4----7-645--78-1--3-3-945-7---------1--8---25---542-3-6,1.98
30,False,---1-----1--2----------7-1-3-8-56--22-73----6-4-9----77---6-241--25-96-8-61-7----,2.01
30,False,----347-2------48--4--7---3--4-1----2--5---4-159-46---896-2--14---4-12--4--8-----,2.02
30,False,---51---7-1----6------6--14-8---1--2357----9--4-------73-1-62-98-6-4-1--4-1-73---,2.03
30,False,-------13-5-----8-----84--6----5---7-269178-5--5-462-1---1-53--8----2--9-----817-,2.05
30,False,95-7-4--614-6--9-5-3-58---1---------4-5--1---72----5---1-4-------31----45-48--1-2,2.06
30,False,-----7-185---983-7-28--396-35-48------------34-732-8----5-3-786----1------------5,2.07
30,False,93218--4-4----798--5---96-----5-----68----152-2----4-93-----2--57-8----4---4-3---,2.10
30,False,--4-3159--6-----18--29---6---1-----6-5---793-8--5-6-2-----7-6456-------35-7----8-,2.11
30,False,--38-----952----3----7-3--4-45-7-382----3-1-6-6----4---89--7------3-5-68-3----7-1,2.12
30,False,---6-89-3-2---3-4------42-7---4513-----7---2---32--1--698--5-3--5-3-----3-48---5-,2.24
30,False,736241----5--------82-954--2-----94--4-9-7-8-8--3-4---6-1-----4-2--8--1---8----2-,2.42
30,False,175-68--4--------1-469-5---2--67----56-8---2-----5-3-648--9--636-------2-9---6---,2.47
30,False,8----5-74--5-2-1-6-----73-5-5--42------------4-27--8-----4----1149---5--5-32916--,2.58
30,False,--6--8--28---6---3---1-4------8-6759-45-3----68---53---38-7--61----8-2-----6--9-8,2.67
30,False,---7--1-9819-2-------8--3------53--2295--68--14-2-9----7-9---6--84---29--2----4--,2.68
30,False,---5----2-----9658-5---6---47-65---1--51---7-3-6497-25----6----------5---3-8-5-67,2.77
30,False,-4---91-------7----371-289448-----1-9-1------------548-5-6-8---8--7-36---1--2--87,2.80
30,False,--971-48-----6-95---4-9----9--1--5--2-79-------6-78-2------7----724-9-3--453--7--,2.88
30,False,--4--152--7--5-6349-2-4-----17---8------8--5-2--41---61--5----7--39-----54---7-8-,2.89
30,False,----2-17-------3--18--7------1756--85-------3--6---7--41-9675-29---42-67--2-8----,2.97
30,False,--37--56---2--691-6---3-2--87-3---4--3-65--929--81----2---73------24---7---1-----,2.98
30,False,5-6-2--1-8-2-175-37135-------7---4--6-4---1-----1--------28----9----1274-2--79---,3.00
30,False,----1456-2-----4--47625-9--56--7129------2-4-------7-----3-----1---8--246-3---8-5,3.03
30,False,-8----57-----591-3-----6---465--723----63----9--284--------3--735----8-91-6---3-5,3.03
30,False,-41-9--2-23--4--86------4---9-3----------9-32-----2967---92-----2-----5-1568-4-79,3.06
30,False,-5----3-67-23--5--936-5----54-72--3-2---1578--71----------9-----8-4--2----7-82---,3.07
30,False,65--89--283-4--7---9251-4-------8-91---------58-1-7--4--5----8-----36-----8954---,3.08
30,False,--9--4-----62--94-1-4--9--59-3-4--2-7---8-69-------1--4-79-3--6---52-----95--83--,3.23
30,False,-5---12--17-5-936--6--3----53---8---8--7-2-1---1-9--7-3----5-----48-3---6----483-,3.24
30,False,-2--96----5--84-1---9-------6---18--8-1---3--37-96---5-1---72-99--8--7--28-4----6,3.32
30,False,---8------28--3564-3---279-8-3--7-42-1----6-5------83-389-26----------2-----31-8-,3.33
30,False,3--27--8---7-354-24-2-6-7--2---9---813----------6-3-2-5-9--28------1---3723------,3.45
30,False,-----------7-5-8---1-8374--3-87--61--2-5--384-----8------6--598-952-3---87------3,3.69
30,False,--4----3--5-----16-6-1-8-----9----5-23---9----4---2---4762-19--91------2-2-89617-,3.72
30,False,--------183-9-1--------58-39----2----6---9--252167--9--5--97-----34----94-956-2--,3.80
30,False,-----7---72--19-85-93-6-4--6-1-2--------5-87-2587---4--459------6-----5-9-----7-3,3.83
30,False,32---8-57--72-5---59-3-7-28------986------73-------24------6----415--87-73--1----,3.84
30,False,4----8-3------2--6-----4981--------583-27-19----9-53-86---2----78-63-2-9--9-----3,3.86
30,False,7---2------9---2--25----73617-8-352--9---5--3--32--8----4-69---------942----12--5,4.03
30,False,---68-2--------4---4----8-521--9--843-4---6------36-9---7-5192---5-6--4---2-47-1-,4.14
30,False,-------18----9-3-2-7-8---6-36-5-97--9-8----5--------8----9-86477-941---5--6-2-8--,4.37
30,False,-6-2---49-2564----14-8--2---7-4---3-------6--95-3---782-7-8--964------21---1-----,4.38
30,False,-3-----4-7-49-682-6-24785--------1--2-1--9----8----69--9-8--2--5-------882---39--,4.40
30,False,8--------3--89----------4--5-4----8-9-37--5--6--5893--2--6-59--1-92--8----793--51,4.63
30,False,-6-----45--8475---5-4-----7-4--6-----56-4-8----315-6--31----469--2------4-9--6-2-,4.64
30,False,8-974------238------71-9-4-7-1---69-3-8-917----65------8----------8--915---9---28,4.65
30,False,-7--821-919----68--8----2---2-----3----2---------46-259-1-24--8-47--83--2---5--9-,4.70
30,False,-45--3-21------4---------93-84------9-18--67---7-49---1--23-7----6784---47--95---,4.80
30,False,--157-2---7-62---15--1---7-6------4--1-8--7---5-4-23--2--------7--9-3-12-49--58--,4.81
30,False,7----15823-5---------4---3------9-------------1-3658-443-518---68-7-42--95---31--,5.47
30,False,-8-1----5------8-4-3--826----37-4---6-1--9--3--2-3--6-3--61---8-6----15-71-----96,5.52
30,False,---8--5-9----6-81---9--7----9-32---5-3-591-2----784------6--24----2539---2---9--8,5.53
30,False,-8--25-9-71439-------481--7-4-----5-293--8-74------8--1------4-----6--1---7-14--6,5.54
30,False,-2---1--3---6--2-------58-6-9715--6--1----5---5----1--1687---354---1-6-95--46----,5.64
30,False,--5-------87----5---4-51----1--3--9-57----816----68--3------1-52-1--3-4-84-915-2-,5.78
30,False,-----59--1---6--4-------1-3-631-4-72-21538---4-8--6-3-8-----2--6-9-4-----7-9--6--,5.79
30,False,--85-9----56----8--4-836-1-8-----6----7-6-5----5-8-3415-9-2----2---7---94----5-6-,5.80
30,False,17-5--26--6-9----8-----213---78--42-92-7----6-4-2----77-4------28-------35---7-4-,5.81
30,False,89-57-1--6-5---------6--3---67--5---3-87429-1-1---65---4-26-81------87---8-------,5.82
30,False,--5-2-9--762-8-5-3---6-52--48--9---63---1--------7--95----5-6-1---342---5--1----2,5.83
30,False,--1--7--9----1-8--7---89------63-5---189---2-26---------9-2--4--8-74--35-3-8-17-2,5.86
30,False,----735--4---8--3-3154--78---6--7892-8-----7---7-----37--2-83----9-3------4--1-6-,5.90
30,False,8--923-1--1---79-67-51-----189----3-2-----6--6-7-------3----4--5-6-381--4---19---,5.91
30,False,----9-481-----4---479------712-8--4-6-4-3--2------------8451---2-5--6--31-78-3--4,5.92
30,False,-----6-----6-3--5-52-9---634-86--5---6-752-3-----1-7--9-----3---3518---4--43-5---,5.95
30,False,-----6-7--7-83--------------189------642-3-----961-73--8-47-15-1-7-28--4--3-65---,6.23
30,False,8-6-437----2---1---4-2------3-79----9-1-6--2-6-7-3---81-8-25----23-1----5-----2-3,6.24
30,False,-1249---8-7--3---4-6--82-1--94---------2----9-2-3--4-1--691--5--5--47---9------46,6.27
30,False,89-1---53--138-----36--------7--1-3-41----8---62-3-7-1----5-91-1---9-----29---34-,6.30
30,False,1---7-2--3--68-----4---26------6-7--657-29----9-84-3-5-1-7--93--7--9--8------8--2,6.32
30,False,---9---2---------99---27----3---697--46--9---1-9---8----5793--678--64---691--5--7,6.47
30,False,9-3815---8-7--3-9-4-6---3-----2-6-1-1-4--86----237--8--------34--563--------8-2--,6.51
30,False,--84-9--2--9---85-123----9---7--6-8-----124799----8---------3-73---2-1-8---1---65,6.52
30,False,-6--3---7---91-3---31-6---53------12-58--9-3----376--8---7-----8-624--7--2----4-3,6.54
30,False,8-1279-------8-2-16-4-1------6-351---------6----8---4-9----861-1--756-----81-23--,6.67
30,False,6--5-97-----1--------6------1-----9----8--2-19-3---854---9-----1---8294636-47-182,6.68
30,False,-4----51-31-5-----528--6--39-------5---958------6-71--48---1-9---67--8-1-----5-24,6.74
30,False,---357--1-54-8--6-18-9--25--4-639--293-7------------39-23-----5------3-----293---,6.75
30,False,-96---7--7---2-------9-4---1--24--9----3--4-2432--5---64-1-9-8--8--5-6-1--1----49,6.78
30,False,--93--7--3-4--1-8--2---864-53--19---6------95-8-56-----98-2-----5----9----679--3-,6.79
30,False,-56-1-4-----58---9---------8-32-9-6-----5--4-27---1--3---7---14--14---8-4681--7-5,6.83
30,False,-----2---6-974-2--28-93-7--52--9--3---73--5----6-5----8-3-2-1-4----6-----1---39-5,6.85
30,False,4--358--2-52----3------28-5--5--126-136-----9-2-7--------2--1----14-35-7----19---,6.87
30,False,3--1-----41-29-5-6----57--1-6---379-----6--8-5----136--415--8--2------177---1----,6.88
30,False,89--2-----46-81----2-9-------8-94532---7----6------4--3---1-2--9---45-18-8--79--4,7.00
30,False,--8-2-7-4-5--9----1-968----2---4-----831---4---4---98--2-4--8----17-86-5---9-2--3,7.03
30,False,-------783--2----1-16-97-2---1-2-5-453-9-8----2-5---1-6----21----21-----1----425-,7.07
30,False,---18-2-58-2-35---5--4--1---5-67---8-7---8-9-6-8--35719--2-78------------------14,7.09
30,False,-68427----3---17--4----3--6------5-71------3---923--1-39-----4--74--5-2--82--41--,7.10
30,False,-48-3--5--2--8---3-----782----7-6-81-9---83---82-----98---2----4-3--1-7--6----518,7.16
30,False,--8-----4-7--14-----1-----9396----81-4278395--8----2---1---6----34--9-1-7-9---5--,7.17
30,False,3-----------5----665---4-3758-----419---5---------2-53---975--------85-9-95461-72,7.35
30,False,7-------32-67-------5-8-----6--947--4-1-27--93-751--8---------6----7--5-97-6528--,7.42
30,False,-278--4------9-----6------551-7-894-2---3-1--7--9------82-59-671-3--25----5---2--,7.52
30,False,-3-2----846-3----58-------7984--2--32----3------89-------97-----71-2836---95-1--2,7.53
30,False,-----13-5---4-6-12--25---645-8-492--4-----97---3----56--4-6--8---79---2-6-5------,7.54
30,False,9----5-3-----31---3-----9--7-61--------3-6529-9-5-4--1----2-3---7-4-3-1883-----95,7.73
30,False,2---1--9-8--2--1-------47--------3--48--235695--67--81-58---6-7-24----1---9--1---,7.74
30,False,15-7----4--931--------24---2-3-9---151-2---6---8-71-2-83---2-------5---87---8-6-2,7.78
30,False,4-29--5-8--1-4-6-99-5--3-2---3-2---1-8--------941-7---------8---46-8-9-2---792---,7.80
30,False,283-9-4-5-49-----3---4--89-5-----1--9-4----5--------694------72-----26-489--47--1,7.83
30,False,8-13-5-6--4-6-71----3-------5--6-------278--427---9-16---7-3-----68------87--649-,7.94
30,False,------2---4--92-7---7-145----52-8639--61-74-2---9361-----4798------------------24,7.95
30,False,----1------2--451-----9-2-3-6-3429--927---4---3---96---5----8----89-13---794-3---,8.03
30,False,85--6---1-2-9----8--98--53--1---9-6-5--62-8---46-87---63------9--54-6----7------6,8.04
30,False,--------4--4----1-97---1-52--1----2--6-1-374-----8456--4--1-2--7-3--94---864--1--,9.86
30,False,-71---39---67----12-8-1-746-8---19---43-----5-57-9---2---------365--94-7----6----,9.96
30,False,-4----5--1-32-68-------1-27-72-1----39------1481-9----8--9--1--5-4-68--9-----24--,9.98
30,False,9-----2--3-2--1------629--8--3--675--74--8-2-6----2-3-7-1-6---24-82-756----------,9.98
30,False,---394-------7---6-7------8-38-5--297--6---5--56-----186--4-5---1-8-59-4-----9-62,10.31
30,False,-----3-4--1-9--7636-31--8------3--5--2679-318---6-5----4-----3-1-----4---6-4-8-2-,10.32
30,False,3-4--2----15984---86-----5----8-------2-36-91-81---67-----18-6--57-----8--8-6-5--,10.35
30,False,-58--7-----4862--56----3--818-2--3----2-8------6---8--8954-1-2----7-8------9-6-8-,10.38
30,False,3-6---------3-92----48--316---9--72----5-2-68-4-----------256316---------53--6847,10.42
30,False,----7--1-1---547-272419--------67-2-5--2-----89--3----6--9--28-4-98----7-----39--,10.43
30,False,-4--36--2926-4---3-71-28--64---7----2------6--1-8-----6--5-42------8-9-4-3----6-5,10.51
30,False,34----7-6-9--76---7561-32-9---6-------8-----5--4-5-3----9-826-3----1--92--3-----1,10.55
30,False,-69----74-84----9--3--2-568---7--9----6-5-3--378--1-52815--67----78--------------,10.57
30,False,549--2---3--5-----8-7-9---54-8-3--61------5-8-9---87--18-----5-9---65----25--7--4,10.70
30,False,-18-----2--6-4---1--218----25-4--1--6---27--------19233---59---87---2---12---48--,10.73
30,False,2------17-84---6-2----65-94-9------1-3-1-8--5----2-4-3----92---921--437----3----9,10.74
30,False,4-9---85----5---1-12--83--6----2----2----7--------93-2732-46---5-1-92-3-----3--24,10.85
30,False,--9-3--2--3--596---16-2-8--2643----77--6--2--------56-6-----3---2-51---6---46---8,10.86
30,True,4----3-9---3-9---6--957----64-7--8--1------72-8--5-9-----9-7-3--7-831-2--3-2----7,10.90
30,False,---2-7-------6-147-------6----------9-18--274--7----151-6---723-82-73-9--5-1--4-6,3.43
30,False,--1-6----8--43-621----82------5--48-----24--9----98---9672--------3-9516---8--79-,3.45
30,False,-4-5-----58-------2-7--4--9----2-735-264----1-75------75--4----1--75862---4--3-9-,4.38
30,True,-6528-3-----95-2-49----185-5-------9--8-6-----9-8-573----53-9-------------1-945-7,4.42
30,False,-3-8-45---5--19--6---6----2-629-51-8-----6----9---7-----7-629---2-5---6--4-3-82--,0.02
30,False,----8-2744-1-------7--43---3-6154--9---8----12------8---84---1--9--6-84--54--89--,0.04
30,False,-----1--2-3-642-1--2-7-59-3-1--6---9-----4---8-7--9-2--5--9---428----1----3-2-69-,0.56
30,False,-41----58----95--25-3---6--4--758-------4---5-5---2--7---86-5-11--4-978-8---3----,0.57
30,False,-3-------84-5--7--2--3-------96-2-7367----4-----97----9-27------5--9-2171--2--958,0.84
30,False,1---238----596---2-6-----79-------6--47--19--6----9-2----496---9-6-8-----7--3569-,0.87
30,False,317-28----------68--8-35-----48---59-9-5--8--------6-1-4---9-1-8-9------175--298-,0.88
30,False,7----924---2-4---65---623--15--3-67----4168-------7--26---9----2---74---84-6-----,0.92
30,False,--------11-97-46-5--4----724----316-------25-3--5817--5-18---2----1--594--3------,0.96
30,False,-1------3-6--9-4125---71-----1-8--2--2-71--85----6---7---2573--2----95----71---4-,1.10
30,False,89--3--47---7-----3-6--------9--3---18--72-637-3--9-5--2-9-------8----7-4573-6-1-,1.37
30,False,----25-4-54--872-----64---528----4--9-3----166-----5---9--7-1--3--4-8----6-5-2--4,1.44
30,False,------7----8----41----8---2874-3-9----2----3439-8--5---8--632-5-37--8----6----183,1.46
30,False,-13-7-6----9---5------8----23--5----9-7-3----156--973-38---4-957---9--24-9--1----,1.50
30,False,-9658--2-8-126975---5---------------5---3721---39-64-----3-----3---9----614----92,1.53
30,False,19--5--7----3-7--4-831---6----67--3-4389----6---5-42----7---6---2-7---4---6-2-1--,1.54
30,False,--13-28--------193-8----6---9-----8541---83--857-63-4--7-8-1-3--3-----12---4-----,1.56
30,False,9--8342--86-21----7-2----------58----2-79----5-------1-159-23--2-----59----6457--,1.59
30,False,5--94---1-4--715-6-------4-----6-45835-7-4-2----8---1---56----4-3-45-9-------2--5,1.65
30,False,---7--6-357--6--8---92--4-1-5--24---24--1--6---3--6-94---6----7-----2-36----7-84-,1.79
30,False,54----9-----645-1-627-------39-7--5-1--53829-26--9----4-6-2-5--7---5-----------8-,1.81
30,False,5--4------761-----4--7-25-96-4---73-1----78-57-5---2----78--95-----7-3--84----1--,1.83
30,False,--81--3--3----7--8-69--3---71-928-36-2---48---85-31---8-------54--8----31------8-,1.83
30,False,------1---4---6----6-37589-----4251----68----9-4-31------9-7--8--526--41-1----9-6,1.91
30,False,-8-9-7531-------7-95-6-32----5--674-----51---32-----9579----3-85-4---6----------7,1.93
30,False,-632-5--752-----6--479-----7-815-2-------7--54---9-7-1--13---5----6---7---4-8--1-,1.94
30,False,-5-2--3---89--------3-1-----4-8-291-----39-8-------236-2--8----8-54-6793-3-7-5---,2.29
30,False,-3---15-494----6--25-----97----5--63--4---8--3-----4----2-1935--1-5-----583--7--9,2.47
30,False,-5---1--4---9----77-3-------37-14-8-------412-14-6--75-----72--47--9-1----18---96,2.52
30,False,---4-89-78----72-3----2-8------7-3923----2--49--5--1-85--7--6-97-----4816--------,2.57
30,False,5---94------5-634--41---5-----458------371-5-8--6------8-9--42---624--8-4----76--,2.60
30,False,---41---7-1--2------6-3-921-39-8---5---2--1-4---596--2-9-7--2-8--1-5---9-5-9-----,2.62
30,False,--2857---1-------7975---------36-----2-7---6963-5-1-483-62-----7--6--43-2----3---,2.68
30,False,9-----83-6-5-1--7--8-9-36-5----2-------8-7-43--73----8-5--3--848-3--42-----1--3--,2.70
30,False,6--8---1-2---1-6-4-17--6--59-31---2-1-----456----6819------1------4-3---8-4--9-7-,2.72
30,False,6-9-78--4---29--87--14-65--3------6----8--3-2--2-----5-48---97-21---9-5---67-----,2.77
30,False,5------42-1-5---36----23-------8-6-3694--5----23-6---5---97----162----78--58---6-,2.82
30,False,--45-----1---72----5---3-7----9---86--8-31---43-2---1--4-7--1--3--1--9-26--32-8-7,3.03
30,False,----9-8176---78-5---1-34-2-------27--9--2--6-2-7-8-4-14--6-------6----3---275--4-,3.05
30,False,--15-3-----3--6------4-1--3--8769----9-3----86-72---351---3-5-2--6-4----3--1-7-8-,3.21
30,False,---83-14-3--6--2--4719-2-3-6----9-----7-6-----542---6----3465--2--7------4--28---,3.22
30,False,-42----7--9----------2-85----4---31---65--9----9-842---27-49--54--8-1-9---3756---,3.25
30,False,48--5--6---7-64---2---1--8-1------73-3418----798-----1--2--87--8--59------5-7---8,3.30
30,False,31-----------8--3-89--3651----51----------7----34-71--1---6--79-38-7124-7----2--1,4.33
30,False,-9-7-1348---25-7-----------95-8---734--31-8---6---2-19-----59---3--976---------57,4.36
30,False,-----36-4---6-5--1---27-----------736---5-49--38-42------42--6-----36--8-641-9-37,4.41
30,False,--4--7--5-6-83-41---------7----64-----6-2-74-49----2--75934-6---------7-61--78--4,4.42
30,False,-8-79--1--9-1-5-7--5-6----8------15---1---6-2-2-----4-21583-9-4-------2-7-9----31,4.43
30,False,---6--7-9------84--5-3-416-6----5-2-4-592-3-----8-1-----7------318-7-59454-------,4.45
30,False,-3--5-6----7---1----6---5----1---2-4--826--5--2---496---3-2-71-7--58-42--6--7--9-,4.50
30,False,89---4---2--1----7-15-9-2-45------9-6------12-----25---5--7-42-1---83-7--6-2---39,4.82
30,False,--7-------95--8-6--38-------4---687-------1-2-8--12-5--61-7-9-3--4195-8------351-,4.84
30,False,-6249-7-15-8---6------6-8---49---5------8---2---1-63-79---7-2-37-6329----3-------,4.85
30,False,------83-8-3--2--7-4-----61---8-3--918---7--53----1-8------91-8-281-4--659----2--,5.10
30,False,-6-2--89--789--2---128-------5-----472-4-----4--5-6--9---3-2--8-----7-1-247-8--3-,5.11
30,False,-35--4----27----54--9-73261--------68--4-5-7-74---2-15--4-56-8-9-----6-7---------,5.15
30,False,-3---7-8----48-6-2-2-639--5-5------4-69-5481-1---7-----4--68-----------8----459-6,5.20
30,False,1-96-----2----71---6-12-3--4--7-----7-1--568--53----7-648---9---1----2-7--24-1---,5.23
30,False,-1----------1---958---9-----8----9------49-27--251683-6--98----94----783-28----49,5.25
30,False,---2--9672--8--4--4-----2--3--1-6---79-5-4-83--8---54--124----5--4------5----28-4,5.27
30,False,--5-4------85---1-3-72--9---5--8-1-----3-1-----1---354--649--815---67-4-4-2---7--,5.51
30,False,--8----2---42--5-8-----3-4--5--21--4--------548---69--945---6---23---4-7-7641---3,5.53
30,False,-5----17-164--5---7-9----64---8-7--5-------8--9---37--471--82--9-52-4-1----31----,5.54
30,False,-268-913-4--7---961---5----9-----6---689----3-7---6--96--5-7------29--------6495-,5.69
30,False,-672-95-45-2--1----8-5------1--45---39---------51--7-3-------52258-6-41---1---8--,5.71
30,False,9-6----3585------43--95----6---3-5281--2--3---3---7---4---8----7-3--1-8--9--2--13,5.73
30,False,---1--35-5-----4-7---75-------5-------5-4612-2-9---5-4----25----2-8396-565---78--,6.26
30,False,-592---1-1-6-834---8-75-6---3---9--691-3--7--6---1---2-6--38--7--1--------4--7---,6.28
30,False,-7------3-38-------6-379--17--8---------975-41-652-----471-2--8-1--68-------43-6-,6.29
30,False,---34-2----36---78-------13-9----3---4---3-2---1----5--6748--394-9--5-6-8--936---,6.31
30,False,92-437----541------67----4------167---------117-----8-4--37-9----3--45--21-8-97--,6.36
30,False,--52-3--6--6--5----2---7--8---1---7-47-659----513------4---8---98-7--5--567--1-8-,6.37
30,False,--26---1--139--5----713--9--79---46--6--7----35----9--938--4----46-92------38----,6.38
30,False,7--6-348--3--8-----8-71-9635---6------18-7--5467--9---8--1------7-2------52---7--,6.39
30,False,---3147-----5-------368-1-53----1----6----2---17--3-----9--5836----974522---36---,6.50
30,False,3658---91--821----72-69-8-----5-6--------94----9-4-------437-8-64----3---53---1--,6.51
30,False,----------1-8--269-------3----9-56----2-67---8692-1547----48---5----9-8-3987----2,6.52
30,False,------5----284------85-7-32-392-684-52--9-16------32--895-7-----6--------7--2--1-,6.53
30,False,--5-91-46-----------25-89---68-23-7--136---98--9-1-56-9--78--1-------------4---89,6.56
30,False,-------68523-9------7-3---59--315----5--6-7------748-121-54---37---8-----3-1--5--,6.60
30,False,-4-2-3--8-----67-41-6-87-----17--2---9762---5----4-----7--9---1--3-7----5---64-79,6.64
30,False,---491-5--51-26----92---6-----7----1---------1-3-59-722--9--1-8-14--5-2--381-----,6.70
30,False,---5-----6-7-9--4-83-6--2-15--3-24----39--158-94-7--2-4791---6--6------5---------,6.71
30,False,-58---76-62-----3--4----2-1-7----5------9--4--9---8673-39826-15---3-------2--53--,6.73
30,False,-7-126-4----74---5---9-------9--1-28--458---7---6--------4-956-943-6-7--5---3---4,6.76
30,False,8--42-16-------------5-1---93----78----9-861-6481--239---6--87---6-9-------8-5--6,6.84
30,False,--68--3-94-8--9--593-271---3--9------5-73------7---------6-724-7-----9-6-63-9--1-,6.88
30,False,--1-37---83----------5--8--7---2-6-5-259--4----6----1-2--------514-8-79-6731---28,6.94
30,False,325-7641--4-531-2--6---2--5-----3----5-----6-8--619---5-----2---8------729-1---5-,6.96
30,False,----6----7-6915-43-8-4-7-----879---5---281--7-17---42--93-7------2-4-----74------,7.04
30,False,-----6---4--28--63-------------5---28-4-32-5-5-34----72-9--8-1---1--3---3-812479-,7.05
30,False,1---3-7----5-721----7---63-------56--5--6-89--8-25-4-36--9---5-5----63-4---5----6,7.07
30,False,-61--89-5-----62344-------6--6--53-7-4-----2--------5-----5-7-23-4--95185-2-----3,7.19
30,False,-3-294-71-8-----49-----7-3---7--1-231---35-6-4-----1---1-57638--7-------3-----7--,7.20
30,False,--853---6---21-----1--8---9---9-1--3-374-85-21--3-76-8----9------4--5--1-89-----5,7.30
30,False,--2---7--4-58----13----1--2-----69-795641-----835924-6----4---9-69----------6---5,7.31
30,False,--6-----------61--8--2-1-6---1---6--4--163--8-6-45--9-----4---617-6---346----9572,7.34
30,False,1------79--4-9362----7--8------5--1----4--583--31-8-------34---92-6--134-4-9-1---,7.35
30,False,-76-5--14-5-7--6-3--1-63----6532-18-4-8--13-9-37-8-----8----9-------5-----2------,7.36
30,False,---5---971--6-2-8-74-83---6--7-----5-51--8--3-----5--15---847---7-21------69---1-,7.41
30,False,--2-8-9-3--4--2--76-9--52187----91-2----2---6-2----8--83------59--2---8----85---4,7.42
30,False,-4-----9---6--7--4------6-23187--5494-7------2--348--167-2------5-6--4-----57---6,7.47
30,False,-397------21958-3--8-----4-------1-8-6-1--9--81------32--8-1-7----5432--1----63--,7.48
30,False,1-7--6-2--48-------3--27-----3-----56--7-9----24-5831---2---7-9----7--36-7-56--4-,7.53
30,False,------5-4-3--8-1-2-4-7-5---1-5-79-4--94-----6-8-43-95-----4---54586------7--2----,7.54
30,False,--13--------68-1--3--5-----2--9-8--5---4--9-2------638-287-354191-86-----73------,7.56
30,False,3----4-----5-------6----13--5--8792-92-5-----7----9-6-5---6-2--2-943---56-195--8-,7.74
30,False,1-----6---59--68---4-7-8---5---713--8--6--7---67-----12-6------485--79----3-2--86,7.86
30,False,---9----8-748---199--4--6-3----2-----4-19-8---96---------6--9-4-652--38-8-975----,7.92
30,False,-84--6-7956-----8--------6----25---64--6-37--62---413-----69------3-594--4-----13,7.98
30,False,-42-17-381---5-----9-68--12-31296--7-----5------4-----3-5---8---8-5-1-----6--3--5,7.99
